triangle_key,Mon,Tue,Wed,Thu,Fri,Sat,Sun
BTC|USDT|VET,1835,2207,2103,1957,2105,1843,1832
BTC|SC|USDT,2142,1862,1927,2131,1851,1954,1997
BTC|FUN|USDT,1502,1865,2023,2165,2366,1600,1577
BTC|IOST|USDT,1834,1948,1728,1741,1986,1721,1739
BTC|COS|USDT,1544,1480,1236,1766,1367,1074,1392
BTC|CELR|USDT,1363,1246,1173,1246,1366,1393,1148
BTC|ONE|USDT,1028,948,1035,1154,1071,986,993
BTC|IOTX|USDT,976,964,932,1073,1019,1077,1046
BTC|ETH|HOT,989,1091,1216,1206,913,763,748
ANKR|BTC|USDT,855,921,1046,1114,1055,1010,896
BTC|DGB|USDT,944,958,879,846,955,955,936
BTC|MITH|USDT,701,719,744,773,748,730,844
BTC|ETH|SC,735,692,746,727,697,621,685
BTC|TCT|USDT,686,697,668,707,654,649,608
ARN|BTC|ETH,465,761,851,729,715,488,574
BTC|USDT|XVG,716,608,674,704,651,535,687
BTC|ETH|XVG,640,613,685,709,643,573,625
BTC|USDT|ZIL,605,645,552,619,608,584,581
BTC|GTO|USDT,592,582,570,511,599,644,542
DENT|ETH|USDT,566,575,556,566,548,549,541
BTC|ETH|VET,554,581,602,579,549,461,487
BTC|TRX|USDT,505,504,563,496,492,543,559
BTC|DOGE|USDT,493,565,469,367,435,744,499
BTC|TFUEL|USDT,479,538,539,540,531,448,448
BTC|HOT|USDT,479,458,612,771,418,393,380
BTC|ETH|FUN,418,557,577,567,575,403,374
BTC|BUSD|XVG,500,439,489,494,506,417,530
BTC|CHZ|USDT,407,470,425,469,393,447,407
BNB|BTC|COS,444,407,393,487,456,319,441
BTC|ETH|TRX,415,402,415,413,409,389,387
BTC|DREP|USDT,335,365,375,318,372,482,312
BTC|BTS|USDT,314,374,348,431,353,332,392
ARPA|BTC|USDT,341,356,355,358,361,377,377
BTC|DOCK|USDT,350,345,423,400,322,351,315
BNB|BTC|VET,338,443,374,388,352,260,326
BTC|RVN|USDT,349,304,406,339,315,319,348
BTC|ETH|IOTX,348,346,308,377,304,371,290
BNB|BTC|SC,343,298,339,336,331,318,314
BNB|BTC|ETH,262,292,331,564,393,188,225
BTC|MDT|USDT,335,327,278,308,290,320,308
BTC|BUSD|IOST,281,280,304,354,367,291,242
BTC|BUSD|TRX,296,294,359,288,279,272,324
BTC|ETH|QSP,313,349,279,334,262,268,307
BTC|BUSD|VET,318,297,298,291,342,267,271
BTC|MATIC|USDT,268,340,272,269,268,295,268
BTC|ETH|MCO,268,283,212,231,306,307,292
BTC|CDT|ETH,265,272,268,268,248,241,264
BNB|BTC|CELR,292,282,225,237,277,261,227
BTC|JST|USDT,241,258,264,234,205,231,359
BTC|ETH|IOST,274,252,229,270,299,179,244
BNB|BTC|TRX,241,221,251,226,231,220,237
BNB|BTC|ONE,264,220,226,253,241,212,189
BTC|BUSD|DGB,232,248,203,218,260,203,213
BTC|ETH|QKC,228,255,206,240,241,199,174
BTC|ETH|WTC,221,207,211,176,200,178,333
BTC|ETH|NULS,226,249,205,212,229,161,241
ETH|NPXS|USDT,200,155,178,250,239,235,252
BTC|FTM|USDT,201,216,201,238,204,180,191
BTC|PERL|USDT,192,193,229,199,193,211,188
BNB|BTC|MITH,177,187,195,233,188,203,213
BTC|ETH|OST,185,201,193,187,187,192,155
BTC|ETH|ZIL,200,180,198,166,189,144,158
BTC|USDT|VITE,166,132,166,204,196,169,193
BTC|BUSD|ONE,177,179,172,175,208,159,127
BTC|ETH|WABI,148,258,202,172,105,142,154
BTC|ETH|STORM,164,178,180,178,134,129,173
ANKR|BNB|BTC,126,145,165,214,184,172,129
BTC|ETH|VIB,173,131,169,125,167,166,197
BTC|STPT|USDT,167,136,165,159,148,144,200
BTC|ETH|MDA,143,151,143,179,151,139,171
BNB|USDT|VET,119,178,167,189,147,139,129
BQX|BTC|ETH,167,151,154,150,155,130,159
BTC|ETH|LINK,155,152,133,150,151,146,150
BNB|BTC|HOT,132,137,194,201,121,125,126
BTC|ETH|SNT,115,136,152,152,137,138,145
BNB|BUSD|WIN,142,185,139,122,110,125,141
BTC|ETH|QTUM,123,163,146,143,131,117,131
ETH|HOT|USDT,98,149,154,133,147,136,111
BTC|ETH|NCASH,130,143,149,106,130,127,134
BTC|ENG|ETH,126,116,130,115,158,108,131
AION|BTC|ETH,124,124,113,92,155,120,117
BTC|ETH|KNC,91,139,109,126,100,107,160
BTC|ETH|POWR,109,117,135,116,100,100,135
BTC|TRX|TRY,118,120,142,100,109,83,124
BTC|BTG|ETH,94,87,108,88,108,124,160
BTC|ETH|LRC,138,88,103,103,131,92,113
BTC|ETH|TNB,113,102,102,116,105,108,107
BTC|ETH|USDT,139,162,72,99,117,72,74
BTC|ETH|GVT,104,110,92,114,99,105,97
BNB|BTC|ICX,99,101,121,119,107,84,80
BNB|BTC|ZIL,107,88,99,107,109,100,93
BTC|ETH|RDN,82,85,103,136,103,74,110
BTC|ETH|QLC,88,100,92,92,77,91,124
BTC|IRIS|USDT,88,90,92,88,111,89,97
BTC|ETH|LSK,90,117,89,95,87,104,70
BTC|BUSD|IOTX,120,102,69,59,72,101,106
BCPT|BTC|ETH,77,119,93,87,72,106,72
BNB|ETH|ICX,95,90,100,96,94,70,66
BTC|ETH|NEO,98,62,81,67,79,86,132
BNB|BTC|WABI,105,98,100,78,90,69,64
BTC|ETH|TNT,94,106,78,87,80,93,64
BTC|ETH|OMG,131,79,77,67,71,59,109
BNB|TRX|WIN,77,101,85,74,72,79,96
BTC|BUSD|IDEX,77,82,88,77,87,90,74
AMB|BTC|ETH,83,66,95,85,77,87,80
BTC|BUSD|CELR,80,77,80,95,78,80,78
BTC|ETH|IOTA,66,76,71,73,63,84,134
BTC|ETH|LEND,79,95,90,81,68,70,83
BTC|ETH|XMR,46,85,131,97,62,77,66
BNB|BTC|IOST,79,108,82,92,79,58,65
ARK|BTC|ETH,91,73,94,71,81,72,78
AION|ETH|USDT,84,84,81,70,88,69,83
BTC|ETH|POE,97,105,70,79,57,60,84
AION|BNB|BTC,70,74,81,88,68,89,80
BTC|DATA|USDT,67,75,66,101,75,73,83
BTC|DLT|ETH,76,65,64,62,64,82,121
BNB|BTC|WTC,68,86,80,72,88,53,85
BTC|ETH|PPT,85,80,83,73,86,51,71
BTC|BTS|ETH,66,90,78,91,84,71,47
BTC|ETH|REQ,62,58,89,69,84,49,115
BTC|BUSD|ZIL,70,81,64,77,63,72,89
BEAM|BTC|USDT,75,64,82,71,77,80,66
BTC|ETH|STRAT,70,76,63,76,71,76,82
BTC|ETH|NAS,75,81,77,74,67,69,64
BTC|BUSD|DOGE,81,84,62,70,72,76,60
BTC|ETH|ZRX,78,59,87,79,73,55,71
BTC|DNT|ETH,90,63,70,74,68,73,63
BTC|TRX|USDC,64,80,80,78,72,63,58
BTC|ETH|NEBL,69,52,63,55,99,73,81
BTC|ETH|EVX,58,64,54,81,70,63,87
BTC|TRX|XRP,69,71,70,68,82,50,67
BNB|USDC|WIN,82,80,94,45,61,57,54
BTC|ETH|STORJ,52,58,73,57,48,46,118
BCC|BTC|USDT,54,58,48,69,85,83,53
ADX|BTC|ETH,70,64,97,64,49,49,52
BAT|BTC|ETH,75,64,81,61,42,67,52
BTC|ETH|GTO,64,54,68,65,47,75,67
BTC|ETH|KMD,48,46,80,87,58,66,51
BNB|BTC|IOTA,51,68,94,57,57,58,48
BTC|BUSD|SYS,60,65,67,54,68,68,50
BTC|ENJ|ETH,58,53,55,72,69,58,63
BTC|CHR|USDT,55,59,72,44,49,74,63
BNB|COS|USDT,43,63,75,69,63,65,36
BLZ|BTC|ETH,40,47,53,56,67,81,62
BUSD|USDT|WING,65,68,68,46,40,52,65
BTC|CMT|ETH,59,46,60,73,54,55,55
BTC|ETH|XZC,60,65,58,57,46,57,55
BNB|BTC|XLM,47,40,56,68,78,67,39
BNB|EUR|WIN,55,80,67,54,41,48,48
BTC|ETH|MTL,59,57,55,80,50,50,42
BTC|DATA|ETH,41,61,45,86,64,51,44
ETH|NULS|USDT,57,88,58,48,73,32,34
BNB|ETH|VET,50,73,72,57,57,35,46
BNB|BRL|WIN,61,59,62,57,68,42,37
BNB|BTC|CHZ,54,56,57,64,63,44,45
AST|BTC|ETH,36,54,49,72,48,68,49
BNB|BTC|WAVES,56,61,66,66,48,37,42
BUSD|DEGO|USDT,50,33,59,64,38,59,69
BUSD|TRB|USDT,58,52,45,62,49,55,46
BTC|BUSD|RVN,55,34,67,39,68,57,47
BUSD|HARD|USDT,71,44,48,49,41,50,62
BTC|USDT|WTC,45,46,64,44,48,65,51
BCD|BTC|ETH,41,45,74,56,39,60,41
BRD|BTC|ETH,45,57,57,59,58,33,41
BTC|ETH|OAX,61,48,46,42,36,54,61
BTC|CHZ|TRY,44,42,57,53,41,67,38
BTC|ETH|LOOM,49,46,45,48,49,40,53
BTC|ELF|ETH,38,40,46,57,55,43,47
BTC|ETH|MANA,30,50,41,65,46,41,49
BTC|ETH|ZEC,36,38,59,60,40,38,50
BTC|BUSD|JST,45,42,50,38,40,50,49
BNB|ETH|IOTA,38,36,60,56,37,48,36
BTC|DASH|ETH,35,19,63,46,47,44,52
BTC|EOS|ETH,30,25,54,43,31,37,76
BNB|ETH|XLM,37,25,40,42,51,59,35
AION|BNB|ETH,26,50,37,42,33,44,52
BNB|BTC|LTC,36,36,58,31,50,55,17
BTC|ETH|XLM,32,49,55,46,30,42,25
BTC|ETC|ETH,42,34,24,26,30,34,68
BTC|ETH|WAVES,36,48,34,47,30,27,35
BTC|DGD|ETH,37,50,42,41,27,31,28
BTC|EUR|VET,49,31,41,33,33,22,46
BUSD|DATA|USDT,50,37,30,31,31,33,41
ARPA|BNB|BTC,30,33,34,35,40,46,34
BNB|BTC|MATIC,42,35,43,35,29,36,30
BNB|ETH|WTC,28,47,38,33,36,24,39
BNB|ETH|WABI,36,51,39,30,34,22,33
LINK|TUSD|USDT,24,24,34,38,54,38,32
BTC|BUSD|DATA,30,36,34,30,42,44,26
BTC|ETH|GXS,36,38,35,43,33,23,32
ARPA|BTC|TRY,25,30,30,38,32,38,45
BTC|BUSD|VIDT,18,35,46,37,39,30,31
BTC|ETH|PIVX,21,38,47,28,41,32,28
BNT|BTC|ETH,22,24,37,27,39,31,55
BTC|NKN|USDT,28,26,22,50,30,41,36
BNB|OGN|USDT,28,29,34,50,29,34,24
BAT|BNB|BTC,32,35,32,36,39,23,27
BTCST|BUSD|USDT,12,32,113,14,16,21,14
BUSD|PSG|USDT,34,34,30,32,36,33,22
BNB|BTC|EOS,29,21,22,34,22,73,17
BNB|COCOS|USDT,26,18,30,44,38,29,31
BTC|RVN|TRY,27,27,42,46,25,23,25
BNB|BTC|WAN,25,35,29,30,38,36,20
BTT|USDC|USDT,34,24,35,24,39,32,24
BNB|BTC|RVN,27,31,33,32,33,24,30
BNB|BTC|USDT,38,15,47,27,31,14,29
BNB|LTC|USDT,22,21,26,29,42,47,12
BUSD|UNFI|USDT,25,35,28,22,26,24,37
BNB|BTC|FTM,22,31,21,34,39,22,25
BLZ|BNB|BTC,13,34,37,24,37,28,18
BNB|ETH|USDT,29,25,43,30,28,16,16
BTC|ETH|STEEM,26,29,26,18,36,27,24
BNB|EOS|ETH,22,16,22,28,21,60,13
BTC|BUSD|TRB,27,22,21,35,26,27,23
BTC|BUSD|WING,21,29,36,25,13,24,33
BTC|HBAR|USDT,31,36,30,23,19,20,20
BTC|LINK|TUSD,21,21,24,31,39,21,20
BNB|EOS|USDT,25,20,14,17,21,61,18
BNB|ETH|LTC,14,21,38,16,31,46,9
BNB|BTC|PERL,37,26,27,22,18,24,21
ETH|HOT|TRY,19,55,21,19,22,17,22
BNB|ETH|HOT,20,22,21,36,23,31,17
BNB|BTC|ONT,25,22,24,27,35,16,20
BTT|TUSD|USDT,19,30,33,15,27,20,25
BTC|TRY|VET,31,23,31,26,28,7,17
LINK|USDC|USDT,10,17,24,36,36,18,21
BNB|BTC|NEO,25,29,23,13,11,30,31
BUSD|ETH|SLP,18,19,19,16,38,19,32
BUSD|STRAX|USDT,30,20,29,24,21,15,21
BNB|BUSD|EOS,19,20,16,20,18,51,14
BNB|BTC|ENJ,25,24,22,21,27,26,13
AVA|BUSD|USDT,28,23,22,16,24,24,17
BTC|DOGE|EUR,9,16,17,27,32,29,23
ANKR|BNB|USDT,13,28,23,19,29,19,20
BTC|ETH|RLC,29,21,26,18,15,15,21
BNB|ETH|NEO,23,16,18,20,11,24,28
ETH|NEO|USDT,22,23,31,24,10,14,14
BTC|DUSK|USDT,20,22,20,22,16,17,20
AION|BTC|USDT,22,16,17,22,16,22,22
BAT|BNB|ETH,16,29,27,9,15,18,22
USDC|USDT|ZEC,10,24,22,20,24,19,16
BEL|BUSD|USDT,15,21,22,20,17,20,19
BTC|LINK|USDC,11,18,20,30,28,13,14
BLZ|BNB|ETH,10,26,31,17,24,15,11
BNB|BUSD|CAKE,23,31,17,24,12,17,9
BNB|ETH|WAVES,25,18,22,26,17,10,14
BNB|BTC|OGN,10,20,12,27,23,18,21
BTC|ETH|GNT,10,13,18,18,32,18,21
BTC|BUSD|HARD,22,15,16,17,12,27,21
BNB|TROY|USDT,16,16,17,28,16,13,24
BTC|DNT|USDT,16,30,22,25,9,16,11
BTC|ETH|XRP,11,11,20,21,8,10,47
AUDIO|BUSD|USDT,13,21,20,8,36,15,15
BTC|SAND|USDT,17,13,13,21,28,17,17
BNB|NEO|USDT,16,18,14,10,22,21,25
BTC|NEO|USDT,15,27,34,19,12,7,9
BTC|ROSE|USDT,10,15,21,21,11,22,22
BTC|NULS|USDT,16,21,16,21,23,14,11
ADA|BTC|ETH,6,15,12,33,34,7,15
ADA|TUSD|USDT,23,15,18,17,24,9,14
DAI|ETH|USDT,0,72,47,0,0,0,0
BTC|ETH|THETA,11,14,27,32,10,10,15
BNB|ETH|WAN,7,22,11,19,25,19,15
BTC|NGN|USDT,15,18,17,20,38,7,3
BNB|BTC|THETA,11,20,21,19,21,11,15
ETH|THETA|USDT,18,14,23,33,9,9,9
BUSD|CTSI|USDT,18,15,17,9,13,20,23
BNB|MITH|USDT,20,13,15,17,15,18,16
BTC|CVC|ETH,17,24,19,16,11,15,7
BTC|BUSD|MATIC,23,23,13,9,8,22,10
BTC|DOGE|TRY,4,10,11,20,24,24,15
BNB|BUSD|XRP,15,6,14,13,20,12,27
BTC|ETH|ZEN,17,14,17,15,10,14,18
BTC|ETH|REP,18,11,13,23,12,14,14
BUSD|CELR|USDT,14,21,15,15,13,15,11
BNB|BTC|XRP,12,8,12,14,19,12,26
BNB|ETH|ONT,13,14,14,15,23,12,10
AE|BTC|ETH,12,23,15,13,16,13,8
ATOM|USDC|USDT,14,18,20,9,14,10,15
BTC|BUSD|RUNE,18,15,14,14,16,2,20
BTC|BUSD|UNFI,11,18,10,16,15,8,21
BTC|CTSI|USDT,5,22,12,18,11,12,18
BNB|CELR|USDT,10,14,15,12,18,11,16
BTC|DAI|USDT,0,64,30,1,1,0,0
BNB|BTC|ZEN,11,8,19,14,16,18,10
BNB|ETH|ZIL,16,12,20,11,18,12,5
BTC|BUSD|FXS,9,15,20,16,11,9,14
BUSD|DODO|USDT,16,11,18,18,7,7,17
DATA|ETH|USDT,10,11,21,19,14,9,8
AVA|BTC|BUSD,21,12,16,9,9,12,13
BNB|USDT|XRP,10,5,6,15,22,11,22
BTC|BUSD|PSG,12,17,6,14,16,14,10
ARDR|BTC|USDT,9,11,8,16,17,12,15
BNB|ETH|SC,17,14,10,9,15,10,11
BNB|ETH|MFT,15,8,16,10,9,16,11
BTC|BUSD|CTSI,5,15,14,12,10,14,12
ATOM|BTC|USDC,11,17,12,7,11,14,10
BTC|EUR|TRX,12,14,13,10,17,8,8
BUSD|SLP|USDT,14,11,10,20,10,7,8
BTC|USDC|ZEC,6,10,13,17,11,10,13
BTC|ETH|ICX,4,23,22,14,10,1,5
ETH|FUN|USDT,10,10,7,13,12,14,13
BTC|BUSD|ROSE,12,5,14,8,12,17,11
ALPHA|BUSD|USDT,21,18,15,6,7,2,9
BTC|USDT|WING,8,7,10,13,8,14,17
BNB|EUR|XRP,12,6,8,12,15,8,16
BUSD|DIA|USDT,12,10,13,10,13,10,8
ADA|BTC|TUSD,13,10,11,15,16,4,6
BNB|BTC|RUNE,12,15,13,6,9,8,12
BTC|KMD|USDT,8,13,15,9,10,11,8
BUSD|USDT|YFII,5,9,12,11,15,11,11
BTC|REP|USDT,4,7,5,15,21,13,8
BTC|COTI|USDT,8,11,7,19,12,8,8
ETH|LINK|TUSD,8,8,10,9,19,9,10
BTC|TRX|TUSD,3,16,8,13,12,13,8
BNB|ICX|USDT,5,10,14,15,11,9,9
PAX|USDT|XRP,9,14,11,12,8,11,8
BTC|PAX|TRX,12,13,7,10,18,5,7
BNB|PERL|USDT,6,11,11,15,12,9,8
BUSD|FIO|USDT,11,5,13,15,10,10,7
BUSD|CKB|USDT,10,12,18,8,11,6,6
